sentiment,text
neg,sheridan . . . smoothes over sources of conflict that could have lent the film a bit more depth .
pos,"what's surprising about full frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you ."
pos,"not the best herzog perhaps , but unmistakably herzog ."
neg,"every potential twist is telegraphed well in advance , every performance respectably muted ; the movie itself seems to have been made under the influence of rohypnol ."
pos,genuinely touching because it's realistic about all kinds of love .
neg,"maybe it's the star power of the cast or the redundant messages , but something aboul "" full frontal "" seems , well , contrived ."
neg,a cautionary tale about the folly of superficiality that is itself endlessly superficial .
pos,k-19 : the widowmaker is a great yarn .
neg,"the movie is dawn of the dead crossed with john carpenter's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second ."
neg,a puzzling experience .
pos,"it's a hoot and a half , and a great way for the american people to see what a candidate is like when he's not giving the same 15-cent stump speech ."
pos,"insomnia is involving . still , i thought it could have been more ."
neg,somehow both wildly implausible and strangely conventional .
pos,"the film delivers what it promises : a look at the "" wild ride "" that ensues when brash young men set out to conquer the online world with laptops , cell phones and sketchy business plans ."
neg,about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook .
pos,"viewers of "" the ring "" are more likely to remember the haunting images than the plot holes ."
pos,"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene's prose , and it's there on the screen in their version of the quiet american ."
neg,"as it stands , there's some fine sex onscreen , and some tense arguing , but not a whole lot more ."
neg,the film's tone and pacing are off almost from the get-go .
pos,a rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .
neg,"try as i may , i can't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , 'thank you ! ' when leguizamo finally plugged an irritating character late in the movie ."
pos,"good car chases , great fight scenes , and a distinctive blend of european , american and asian influences ."
pos,the weakest of the four harry potter books has been transformed into the stronger of the two films by the thinnest of margins .
pos,"like mike is a winner for kids , and no doubt a winner for lil bow wow , who can now add movies to the list of things he does well ."
pos,"it's a wonderful , sobering , heart-felt drama ."
pos,"thanks to haynes' absolute control of the film's mood , and buoyed by three terrific performances , far from heaven actually pulls off this stylistic juggling act ."
neg,conforms itself with creating a game of 'who's who' . . . where the characters' moves are often more predictable than their consequences .
neg,"the characters are based on stock clichés , and the attempt to complicate the story only defies credibility ."
neg,earnest but heavy-handed .
pos,"with elements cribbed from lang's metropolis , welles' kane , and eisenstein's potemkin , the true wonder of rintarô's metropolis is the number of lasting images all its own ."
pos,"may not have generated many sparks , but with his affection for astoria and its people he has given his tale a warm glow ."
neg,"a stupid , derivative horror film that substitutes extreme gore for suspense ."
pos,"a gem of a romantic crime comedy that turns out to be clever , amusing and unpredictable ."
pos,"the draw [for "" big bad love "" ] is a solid performance by arliss howard ."
pos,"all of it works smoothly under the direction of spielberg , who does a convincing impersonation here of a director enjoying himself immensely ."
neg,"yes , one enjoys seeing joan grow from awkward young woman to strong , determined monarch , but her love for the philandering philip only diminishes her stature ."
neg,"eastwood winces , clutches his chest and gasps for breath . it's a spectacular performance - ahem , we hope it's only acting ."
pos,the wild thornberrys movie is a jolly surprise .
pos,an elegant and sly deadpan comedy .
neg,"a puzzle whose pieces do not fit . some are fascinating and others are not , and in the end , it is almost a good movie ."
neg,"eccentric enough to stave off doldrums , caruso's self-conscious debut is also eminently forgettable ."
neg,"britney spears' phoniness is nothing compared to the movie's contrived , lame screenplay and listless direction ."
neg,"it's clear the filmmakers weren't sure where they wanted their story to go , and even more clear that they lack the skills to get us to this undetermined destination ."
pos,"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow ."
pos,"the movie is a blast of educational energy , as bouncy animation and catchy songs escort you through the entire 85 minutes ."
neg,"though howard demonstrates a great eye as a director , this southern gothic drama is sadly a tough sit , with an undeveloped narrative and enough flashbacks and heavy-handed metaphors to choke a horse -- or at least slow him down to a canter ."
neg,"the director mostly plays it straight , turning leys' fable into a listless climb down the social ladder ."
neg,a momentary escape from the summer heat and the sedentary doldrums that set in at this time of year .
pos,"for anyone who remembers the '60s or is interested in one man's response to stroke , ram dass : fierce grace is worth seeking out ."
neg,"was i scared ? only at the prospect of beck's next project . let's see , a haunted house , a haunted ship , what's next . . . ghost blimp ?"
neg,"despite all the talking , by the time the bloody climax arrives we still don't feel enough of an attachment to these guys to care one way or another ."
pos,beautifully produced .
pos,"this starts off with a 1950's doris day feel and it gets very ugly , very fast . the first five minutes will have you talking 'til the end of the year !"
neg,"worth seeing once , but its charm quickly fades ."
neg,the movie is undone by a filmmaking methodology that's just experimental enough to alienate the mainstream audience while ringing cliched to hardened indie-heads .
neg,the pivotal narrative point is so ripe the film can't help but go soft and stinky .
pos,attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .
neg,"frida is certainly no disaster , but neither is it the kahlo movie frida fans have been looking for ."
neg,just because a walk to remember is shrewd enough to activate girlish tear ducts doesn't mean it's good enough for our girls .
pos,enormously entertaining for moviegoers of any age .
pos,"functions as both a revealing look at the collaborative process and a timely , tongue-in-cheek profile of the corporate circus that is the recording industry in the current climate of mergers and downsizing ."
pos,a keep-'em-guessing plot and an affectionate take on its screwed-up characters .
pos,"a smart , sassy and exceptionally charming romantic comedy ."
neg,"it's mighty tedious for the viewer who has to contend with unpleasant characters , hit-and-miss performances and awkwardly staged scenes ."
neg,"instead of making his own style , director marcus adams just copies from various sources  good sources , bad mixtur"
neg,it's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .
pos, . . . there is enough originality in 'life' to distance it from the pack of paint-by-number romantic comedies that so often end up on cinema screens .
pos,"in all fairness , i must report that the children of varying ages in my audience never coughed , fidgeted or romped up and down the aisles for bathroom breaks ."
pos,"a gripping movie , played with performances that are all understated and touching ."
pos,refreshing .
pos,poignant and delicately complex .
pos,serious and thoughtful .
pos,"unfortunately , it appears that [jackie] chan's us influence is starting to show in his hong kong films ."
neg,"in this film , aussie david caesar channels the not-quite-dead career of guy ritchie ."
neg,"if religious films aren't your bailiwick , stay away . otherwise , this could be a passable date film ."
neg,"if you adored the full monty so resoundingly that you're dying to see the same old thing in a tired old setting , then this should keep you reasonably entertained ."
neg," . . . if you're just in the mood for a fun -- but bad -- movie , you might want to catch freaks as a matinee ."
neg,"not always too whimsical for its own good ( but enough to do harm ) , this strange hybrid of crime thriller , quirky character study , third-rate romance and female empowerment fantasy never really finds the tonal or thematic glue it needs ."
pos,"enjoyably dumb , sweet , and intermittently hilarious -- if you've a taste for the quirky , steal a glimpse ."
neg,the latest adam sandler assault and possibly the worst film of the year .
neg,"flashy , pretentious and as impenetrable as morvern's thick , working-class scottish accent ."
pos,"the heat of the moment prevails . it cooks conduct in a low , smoky and inviting sizzle ."
neg,"deliberately and devotedly constructed , far from heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate ."
neg,"jason x is positively anti-darwinian : nine sequels and 400 years later , the teens are none the wiser and jason still kills on auto-pilot ."
neg,"even on its own ludicrous terms , the sum of all fears generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series ."
neg,"comes off more like a misdemeanor , a flat , unconvincing drama that never catches fire ."
neg,very stupid and annoying .
pos,offers enough playful fun to entertain the preschool set while embracing a wholesome attitude .
pos,"amy and matthew have a bit of a phony relationship , but the film works in spite of it ."
neg,what was subtle and mystifying in the novella is now broad and farcical .
pos,"fans of critics' darling band wilco will marvel at the sometimes murky , always brooding look of i am trying to break your heart ."
pos,"a splendid entertainment , young in spirit but accomplished in all aspects with the fullness of spirit and sense of ease that comes only with experience ."
neg,"the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial ."
pos,'stock up on silver bullets for director neil marshall's intense freight train of a film . 
pos,maintains your interest until the end and even leaves you with a few lingering animated thoughts .
pos,"one of the finest , most humane and important holocaust movies ever made ."
pos,the film offers an intriguing what-if premise .
neg,"from beginning to end , this overheated melodrama plays like a student film ."
neg,"mr . wedge and mr . saldanha handle the mix of verbal jokes and slapstick well . their film falters , however , in its adherence to the disney philosophy of required poignancy , a salute that i'd hoped the movie would avoid ."
pos,"with an unflappable air of decadent urbanity , everett remains a perfect wildean actor , and a relaxed firth displays impeccable comic skill ."
pos,"using a stock plot , about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater ."
neg,"the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately don't enable them to discern flimsy screenplays ."
neg,the timing in nearly every scene seems a half beat off .
pos,"suffice to say that after seeing this movie in imax form , you'll be more acquainted with the tiniest details of tom hanks' face than his wife is ."
pos,it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times .
neg,feels like a cold old man going through the motions .
neg, . . . the sum of the parts equals largely a confused mediocrity .
pos,"irwin is so earnest that it's hard to resist his pleas to spare wildlife and respect their environs . there are far worse messages to teach a young audience , which will probably be perfectly happy with the sloppy slapstick comedy ."
neg,lawrence should stick to his day job . he's a better actor than a standup comedian .
neg,"peralta's mythmaking could have used some informed , adult hindsight ."
pos,"this is a nicely handled affair , a film about human darkness but etched with a light ( yet unsentimental ) touch ."
pos,the movie exists for its soccer action and its fine acting .
neg,to say this was done better in wilder's some like it hot is like saying the sun rises in the east .
neg,"trying to figure out the rules of the country bear universe -- when are bears bears and when are they like humans , only hairier -- would tax einstein's brain ."
neg,"at three hours and with very little story or character development , there is plenty of room for editing , and a much shorter cut surely would have resulted in a smoother , more focused narrative without sacrificing any of the cultural intrigue ."
pos,we do get the distinct impression that this franchise is drawing to a close .
neg,the worst film of the year .
neg,"filmmakers have to dig deep to sink this low . fortunately for all involved , this movie is likely to disappear as quickly as an ice cube thrown into a pot of boiling water ."
pos,"[while the last metro] was more melodramatic , confined to a single theater company and its strategies and deceptions , while tavernier is more concerned with the entire period of history ."
pos,"almost every scene in this film is a gem that could stand alone , a perfectly realized observation of mood , behavior and intent ."
pos,"the film's real appeal won't be to clooney fans or adventure buffs , but to moviegoers who enjoy thinking about compelling questions with no easy answers ."
neg,"it wants to be thought of as a subversive little indie film , but it has all the qualities of a modern situation comedy ."
neg,is it a comedy ? a drama ? a romance ? a cartoon ?
pos,maelstrom is a deliberately unsteady mixture of stylistic elements .
pos,"an undeniably moving film to experience , and ultimately that's what makes it worth a recommendation ."
pos, . . . a magnificent drama well worth tracking down .
pos,"affirms the gifts of all involved , starting with spielberg and going right through the ranks of the players -- on-camera and off -- that he brings together ."
pos,"pure cinematic intoxication , a wildly inventive mixture of comedy and melodrama , tastelessness and swooning elegance ."
pos,"the acting , costumes , music , cinematography and sound are all astounding given the production's austere locales ."
neg,"think the lion king redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by bryan adams , the world's most generic rock star ."
neg,a plodding teen remake that's so mechanical you can smell the grease on the plot twists .
neg,the movie slides downhill as soon as macho action conventions assert themselves .
neg,"it's an earnest debut full of heartfelt performances , but is ultimately let down by a story that is all too predictable ."
pos,zhang . . . has done an amazing job of getting realistic performances from his mainly nonprofessional cast .
pos,"a highly intriguing thriller , coupled with some ingenious plot devices and some lavishly built settings . . it's a worthwhile tutorial in quantum physics and slash-das"
pos,"although it's a bit smug and repetitive , this documentary engages your brain in a way few current films do ."
neg,the basic premise is intriguing but quickly becomes distasteful and downright creepy .
pos, . . . an agreeable time-wasting device -- but george pal's low-tech 1960 version still rules the epochs .
neg,"swinging , the film makes it seem , is not a hobby that attracts the young and fit . or intelligent ."
neg,only those most addicted to film violence in all its forms will find anything here to appreciate .
pos,parker cannot sustain the buoyant energy level of the film's city beginnings into its country conclusio
neg,"a journey that's too random and inconclusive to be compelling , but which hoffman's brilliance almost makes worth taking ."
neg,"the story is also as unoriginal as they come , already having been recycled more times than i'd care to count ."
neg,"when it comes to entertainment , children deserve better than pokemon 4ever ."
pos,"while this gentle and affecting melodrama will have luvvies in raptures , it's far too slight and introspective to appeal to anything wider than a niche audience ."
pos,illuminating if overly talky documentary .
neg,"like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness ."
pos,"the movie addresses a hungry need for pg-rated , nonthreatening family movies , but it doesn't go too much further ."
neg,"waydowntown may not be an important movie , or even a good one , but it provides a nice change of mindless pace in collision with the hot oscar season currently underway ."
pos,"perfectly pitched between comedy and tragedy , hope and despair , about schmidt instead comes far closer than many movies to expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness ."
pos,"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt's cooper looks when the bullets stop flying ."
neg,"there is no insight into the anguish of heidi's life -- only a depiction of pain , today's version of greek tragedy , the talk-show guest decrying her fate ."
pos,a strangely compelling and brilliantly acted psychological drama .
neg,"at a time when we've learned the hard way just how complex international terrorism is , collateral damage paints an absurdly simplistic picture ."
pos,"it's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing ."
pos,an engaging overview of johnson's eccentric career .
neg,an imponderably stilted and self-consciously arty movie .
neg,the film is like a series of beginnings and middles that never take off .
pos,"if you're burnt out on it's a wonderful life marathons and bored with a christmas carol , it might just be the movie you're looking for . it depends on how well flatulence gags fit into your holiday concept ."
pos,the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity .
pos,an intriguing cinematic omnibus and round-robin that occasionally is more interesting in concept than in execution .
pos,those with a modicum of patience will find in these characters' foibles a timeless and unique perspective .
neg,the plot's contrivances are uncomfortably strained .
neg, . . . a mostly boring affair with a confusing sudden finale that's likely to irk viewers .
neg,"contrived , awkward and filled with unintended laughs , the film shows signs that someone other than the director got into the editing room and tried to improve things by making the movie go faster ."
pos,the movie stays afloat thanks to its hallucinatory production design .
neg,"it's not the worst comedy of the year , but it certainly won't win any honors ."
neg,a cleverly crafted but ultimately hollow mockumentary .
neg,more maudlin than sharp .
neg,"like so many other allegedly scary movies , it gets so tangled up in the twist that it chokes the energy right out of the very audience it seeks to frighten ."
pos,"this breezy caper movie becomes a soulful , incisive meditation on the way we were , and the way we are ."
pos,"while insomnia is in many ways a conventional , even predictable remake , nolan's penetrating undercurrent of cerebral and cinemantic flair lends ( it ) stimulating depth ."
pos,visually captivating .
pos, . . . a rich and intelligent film that uses its pulpy core conceit to probe questions of attraction and interdependence and how the heart accomodates practical needs . it is an unstinting look at a collaboration between damaged people that may or may not qua
neg,"ultimately , in the history of the academy , people may be wondering what all that jazz was about "" chicago "" in 2002 . zellweger's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an "
neg, . . . tackling a low-budget movie in which inexperienced children play the two main characters might not be the best way to cut your teeth in the film industry .
neg,"you come away wishing , though , that the movie spent a lot less time trying to make a credible case for reports from the afterlife and a lot more time on the romantic urgency that's at the center of the story ."
neg,"beers , who , when she's given the right lines , can charm the paint off the wall . . . [but] the script goes wrong at several key junctures ."
neg,"none of this violates the letter of behan's book , but missing is its spirit , its ribald , full-throated humor ."
neg,there are just too many characters saying too many clever things and getting into too many pointless situations . where's the movie here ?
pos,a woman's pic directed with resonance by ilya chaiken .
neg,there is no pleasure in watching a child suffer . just embarrassment and a vague sense of shame .
pos,"a sensitive , modest comic tragedy that works as both character study and symbolic examination of the huge economic changes sweeping modern china ."
pos,"likeable thanks to its cast , its cuisine and its quirky tunes ."
pos,"victor rosa is leguizamo's best movie work so far , a subtle and richly internalized performance ."
pos,overall very good for what it's trying to do .
pos,"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists ."
neg,one long string of cliches .
pos,"vibrantly colored and beautifully designed , metropolis is a feast for the eyes ."
pos,"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet ."
neg,they takes a long time to get to its gasp-inducing ending .
neg,"this is a great subject for a movie , but hollywood has squandered the opportunity , using it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director john woo has built his career on ."
pos,"a jewish ww ii doc that isn't trying simply to out-shock , out-outrage or out-depress its potential audience ! who knew . . ."
neg, . . . has virtually no script at all . . .
neg,"jaw-droppingly superficial , straining to get by on humor that is not even as daring as john ritter's glory days on three's company ."
pos,"the film has an infectious enthusiasm and we're touched by the film's conviction that all life centered on that place , that time and that sport ."
neg,"an odd , haphazard , and inconsequential romantic comedy ."
neg,looks and feels like a project better suited for the small screen .
neg,"rather quickly , the film falls into a soothing formula of brotherly conflict and reconciliation ."
neg,it's impossible to even categorize this as a smutty guilty pleasure .
neg,"quite frankly , i can't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out ."
neg,director clare kilner's debut is never as daft as it should have been .
neg,eisenstein lacks considerable brio for a film about one of cinema's directorial giants .
neg,what kids will discover is a new collectible . what parents will suspect is that they're watching a 76-minute commercial .
neg,an unclassifiably awful study in self- and audience-abuse .
neg,"the redeeming feature of chan's films has always been the action , but the stunts in the tuxedo seem tired and , what's worse , routine ."
pos,"yakusho , as always , is wonderful as the long-faced sad sack . . . and his chemistry with shimizu is very believable ."
neg,"meyjes's movie , like max rothman's future , does not work ."
pos,"this cuddly sequel to the 1999 hit is a little more visually polished , a little funnier , and a little more madcap ."
neg,[at least] moore is a real charmer .
pos,"kids will love its fantasy and adventure , and grownups should appreciate its whimsical humor ."
neg,"there are deeply religious and spiritual people in this world who would argue that entering a church , synagogue or temple doesn't mean you have to check your brain at the door . the same should go for movie theaters ."
pos,"though it runs 163 minutes , safe conduct is anything but languorous . it's packed to bursting with incident , and with scores of characters , some fictional , some from history ."
pos,"the film gets close to the chimps the same way goodall did , with a serious minded patience , respect and affection ."
neg,no way i can believe this load of junk .
pos,"a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv's big brother ."
neg,"too ordinary to restore [harmon] to prominence , despite some creepy scenes that evoke childish night terrors , and a praiseworthy attempt to generate suspense rather than gross out the audience ."
neg,"unofficially , national lampoon's van wilder is son of animal house . officially , it is twice as bestial but half as funny ."
pos,good ol' urban legend stuff .
pos,a marvel like none you've seen .
pos,hashiguchi uses the situation to evoke a japan bustling atop an undercurrent of loneliness and isolation .
neg,"for all the charm of kevin kline and a story that puts old-fashioned values under the microscope , there's something creepy about this movie ."
pos,"the unique tug-of-war with viewer expectations is undeniable , if not a pleasure in its own right ."
neg,"hey arnold ! the movie could have been made 40 years ago , and parents' appreciation of it may depend on whether they consider that a good thing ."
neg,a listless and desultory affair .
neg,possibly the most irresponsible picture ever released by a major film studio .
neg,"there's no palpable chemistry between lopez and male lead ralph fiennes , plus the script by working girl scribe kevin wade is workmanlike in the extreme ."
pos,"oscar wilde's masterpiece , the importance of being earnest , may be the best play of the 19th century . it's so good that its relentless , polished wit can withstand not only inept school productions , but even oliver parker's movie adaptation ."
pos,"the movie occasionally threatens to become didactic , but it's too grounded in the reality of its characters to go over the edge . a touch of humor or an unexpected plot twist always pulls it back ."
neg,the film's center will not hold .
pos,"we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer ."
neg,"there's too much falseness to the second half , and what began as an intriguing look at youth fizzles into a dull , ridiculous attempt at heart-tugging ."
pos,a psychological thriller with a smart script and an obsessive-compulsive's attention to detail .
pos,turns potentially forgettable formula into something strangely diverting .
neg,"a tough go , but leigh's depth and rigor , and his skill at inspiring accomplished portrayals that are all the more impressive for their lack of showiness , offsets to a notable degree the film's often-mined and despairing milieu ."
neg,the marquis de sade couldn't have been as dull a person as this film makes him out to be .
neg,the impact of the armenian genocide is diluted by too much stage business in the modern day .
pos,"on the granger movie gauge of 1 to 10 , the powerpuff girls is a fast , frenetic , funny , even punny 6 -- aimed specifically at a grade-school audience ."
neg,painfully padded .
pos,"it's bright , pristine style and bold colors make it as much fun as reading an oversized picture book before bedtime ."
neg,"while glover , the irrepressible eccentric of river's edge , dead man and back to the future , is perfect casting for the role , he represents bartleby's main overall flaw ."
pos,"reinforces the often forgotten fact of the world's remarkably varying human population and mindset , and its capacity to heal using creative , natural and ancient antidotes ."
pos,"a meatier deeper beginning and/or ending would have easily tipped this film into the "" a "" range , as is , it's a very very strong "" b+ . "" i love the robust middle of this picture ."
neg,"despite some charm and heart , this quirky soccer import is forgettabl"
pos,funny and also heartwarming without stooping to gooeyness .
neg,it treats women like idiots .
neg,the pacing is often way off and there are too many bona fide groaners among too few laughs .
pos,"triple x is a double agent , and he's one bad dude . when you've got the wildly popular vin diesel in the equation , it adds up to big box office bucks all but guaranteed ."
neg,"a gimmick in search of a movie : how to get carvey into as many silly costumes and deliver as many silly voices as possible , plot mechanics be damned ."
neg,every note rings false .
neg,a visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .
neg,"the acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing ."
neg,chokes on its own depiction of upper-crust decorum .
neg,chabrol has taken promising material for a black comedy and turned it instead into a somber chamber drama .
pos,"the picture runs a mere 84 minutes , but it's no glance . it's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing ."
neg,"taken individually or collectively , the stories never add up to as much as they promise ."
neg,"outside of burger's desire to make some kind of film , it's really unclear why this project was undertake"
neg,gibney and jarecki just want to string the bastard up .
neg, . . . too gory to be a comedy and too silly to be an effective horror film .
neg,"what you get with empire is a movie you've seen many times before , repackaged as new material because there is a latino in the lead ."
pos,"lookin' for sin , american-style ? try hell house , which documents the cautionary christian spook-a-rama of the same name ."
neg,this goofy gangster yarn never really elevates itself from being yet another earnestly generic crime-busting comic vehicle -- a well-intentioned remake that shows some spunk and promise but fails to register as anything distinctive or darin
neg,an overstuffed compendium of teen-catholic-movie dogma .
pos,"for its seriousness , high literary aspirations and stunning acting , the film can only be applauded ."
pos,"although the editing might have been tighter , hush ! sympathetically captures the often futile lifestyle of young people in modern japan ."
pos,familiar but utterly delightful .
pos,a compelling motion picture that illustrates an american tragedy .
neg,a ponderous meditation on love that feels significantly longer than its relatively scant 97 minutes .
neg,you could easily mistake it for a sketchy work-in-progress that was inexplicably rushed to the megaplexes before its time .
pos,spiderman rock
pos,vividly conveys the shadow side of the 30-year friendship between two english women .
pos,this movie got me grinning . there's a part of us that cannot help be entertained by the sight of someone getting away with something .
pos,"the performances are amiable and committed , and the comedy more often than not hits the bullseye ."
neg,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes ."
neg,"lacking substance and soul , crossroads comes up shorter than britney's cutoffs ."
neg,"it's just weirdness for the sake of weirdness , and where human nature should be ingratiating , it's just grating ."
pos,a film of ideas and wry comic mayhem .
neg,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ."
pos,"if you're part of her targeted audience , you'll cheer . otherwise , maybe ."
pos,"while guzmán frustratingly refuses to give pinochet's crimes a political context , his distance from the material is mostly admirable ."
neg,"it seems just a long , convoluted ploy to get men into drag -- period drag , no less ."
pos,"desta vez , columbus capturou o pomo de ouro ."
neg,it's like an all-star salute to disney's cheesy commercialism .
pos,"as home movie gone haywire , it's pretty enjoyable , but as sexual manifesto , i'd rather listen to old tori amos records ."
neg," . . . a plotline that's as lumpy as two-day old porridge . . . the filmmakers' paws , sad to say , were all over this "" un-bear-able "" project !"
neg,almost gags on its own gore .
neg,"a sour attempt at making a farrelly brothers-style , down-and-dirty laugher for the female set ."
pos,"if you've ever wondered what an ending without the input of studio executives or test audiences would look like , here it is ."
neg,"[t]hose same extremes prevent us from taking its message seriously , and the stepford wives mentality doesn't work in a modern context ."
pos,"if you ignore the cliches and concentrate on city by the sea's interpersonal drama , it ain't half-bad ."
pos,the best of the pierce brosnan james bond films to date .
pos,"an offbeat , sometimes gross and surprisingly appealing animated film about the true meaning of the holidays ."
neg,"when cowering and begging at the feet a scruffy giannini , madonna gives her best performance since abel ferrara had her beaten to a pulp in his dangerous game ."
pos,"this is mostly well-constructed fluff , which is all it seems intended to be ."
neg,"imagine ( if possible ) a pasolini film without passion or politics , or an almodovar movie without beauty or humor , and you have some idea of the glum , numb experience of watching o fantasma ."
pos,this is such a dazzlingly self-assured directorial debut that it's hard to know what to praise first .
neg,"a light , engaging comedy that fumbles away almost all of its accumulated enjoyment with a crucial third act miscalculation ."
neg,holden caulfield did it better .
neg,"literally nothing in the pool is new , but if you grew up on the stalker flicks of the 1980's this one should appease you for 90 minutes ."
pos,director andrew niccol . . . demonstrates a wry understanding of the quirks of fame . his healthy sense of satire is light and fun . . . .
pos,"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement . and vin diesel is the man ."
neg,there's not enough here to justify the almost two hours .
neg,just plain silly .
pos,"a tender , witty , captivating film about friendship , love , memory , trust and loyalty ."
neg,"the script is a disaster , with cloying messages and irksome characters ."
pos,despite its flaws . . . belinsky is still able to create an engaging story that keeps you guessing at almost every turn .
